ProjectID,Comments
3351037,    Modify readme file
3351037,    Improve duplicate torrent detection
3351037,    Detect duplicates based on info hash and add nickname option to console.
3351037,    Add control mechanism
3351037,    Define AMP message protocol and add control channel to client.  Add console
3351037,    program for user control of client.
3351037,    Use twisted
3351037,    Minor fixes
3351037,    Add requirements.txt and fix syntax error which happens when the tracker
3351037,    cannot be reached.
3351037,    Minor fixes
3351037,    A series of minor fixes including many items uncovered by pylint.
3351037,    Initial commit
9844212,    change project description
9844212,    migrate files
9844212,    Initial commit
10134495,    Update to 1.1.2 google api
10134495,    Rename project from GmailOauth2 to GoogleOauth2
10134495,    Fix typo in README
10134495,    Update README documentation
10134495,    Fix routing path in readme
10134495,    Update README with addition config stuff
10134495,    Create repo for GmailOAuth2TokenBundle
9452318,    Update readme
9452318,    - Fix click bugs where time passed was added multiple times per frame
9452318,    - Fix platform collision - red platforms are now collidable and usable!
9452318,    - Fix debug issues with time handling
9452318,    added reset to instruction
9452318,    - Update README.md todo list
9452318,    - Add resetting by pressing 'P'
9452318,    - Add collecting keys
9452318,    - Split item descriptions into separate class
9452318,    - Rename some files+classes to be more descriptive
9452318,    Fix typo in README
9452318,    instructions
9452318,    - Moving and fadable platforms working to some degree
9452318,    - Update readme
9452318,    - Update readme
9452318,    - Add beginnings of key loading
9452318,    - Clean gitignore
9452318,    - Update readme
9452318,    - Add desktop gitignore because eclipse has a silly git plugin
9452318,    - Add more complex level loading and delegate to a handler
9452318,    
9452318,    - Split interactable platforms into separate entities
9452318,    
9452318,"    - Updates to player, levels, art"
9452318,    Update readme
9452318,    Update readme with tasks
9452318,    Initial commit
9487387,    6/12 0.7 published
9487387,    6/8 support informix
9487387,    6/6
9487387,    6/1 v0.5 append chinese doc
9487387,"    5/31 add new 3 database includes DB2, Sybase and Derby"
9487387,    but some details will be revised soon
9487387,    5/30 readme update
9487387,    5/23
9487387,    5/22
9487387,    5/19
9487387,    5/18 chinese doc
9487387,    5/18 v0.3
9487387,    Create README.md
9487387,    6/6
9487387,    5/23
9487387,    5/18 v0.3
9487387,    Create README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    up readme
10193025,    cleanup; use new structure; start /w ruby server.rb
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    Update README.md
10193025,    up readme
10193025,    everything is new
10193025,    Initial commit
627843,    Use SVG badge [ci skip]
627843,    Remove coveralls and gemnasium images [skip CI]
627843,    Remove Travis-CI status image for the Rails4 branch (skip CI)
627843,    Update readme with name
627843,    Rename links in README
627843,    Update readme with updated Travis-CI URIs
627843,    Nest lists in readme (skip CI)
627843,    Add setup notes about secret_token.rb
627843,    Add setup notes about secret_token.rb
627843,    Add code coverage badge to README
627843,    Start a setup guide in readme (skip CI)
627843,    Switch README to using atx-style headers (skip CI)
